dataset_id,row_id,latitude,longitude,species_name,scientific_name,common_name,itis_tsn,group_size,series_id,date_time,timezone,ds_type,platform,provider,lprecision,tprecision,oceano,notes,last_mod
792,792_441,34.221027999999997,-122.733208000000005,Bp,Balaenoptera physalus,Fin Whale,180527,3,,11/19/2005 7:39:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_441"", ""obsDate"": ""2005-11-19"", ""longitude"": -122.733, ""latitude"": 34.221, ""SST"": {""PF51"": {""YEAR"": 15.675, ""MONTH"": 16.275, ""8DAYS"": 16.425}, ""OISST"": {""DAY"": 15.65, ""8DAYS"": 15.27, ""MONTH"": 15.54, ""YEAR"": 15.15}, ""MODIS"": {""DAY"": 17.06, ""8DAYS"": 17.06, ""MONTH"": 16.48, ""YEAR"": 15.66}, ""HYCOM"": {""MONTH"": 15.96, ""YEAR"": 15.89}}, ""SSH"": {""AVISO"": {""8DAYS"": 57.21}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.42, ""MONTH"": 0.4, ""8DAYS"": 0.44}, ""MODIS"": {""DAY"": 0.49, ""8DAYS"": 0.51, ""MONTH"": 0.48, ""YEAR"": 0.41}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 0.47, ""MONTH"": 0.44, ""YEAR"": 0.43}}, ""BATH"": {""S2004"": -4135.0, ""ETOPO1"": -4156.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.27, ""YEAR"": 33.2}}}",,8/15/2012 7:43:41
792,792_938,32.393920000000001,-118.454333000000005,UnLgCet,Cetacea,cetaceans,180403,1,,1/8/2008 14:20:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_938"", ""obsDate"": ""2008-01-08"", ""longitude"": -118.454, ""latitude"": 32.394, ""SST"": {""PF51"": {""YEAR"": 16.875, ""MONTH"": 14.175, ""8DAYS"": 14.4}, ""OISST"": {""DAY"": 13.88, ""8DAYS"": 13.91, ""MONTH"": 14.05, ""YEAR"": 16.78}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 14.62, ""YEAR"": 17.35}, ""HYCOM"": {""MONTH"": 14.16, ""YEAR"": 17.35}}, ""SSH"": {""AVISO"": {""8DAYS"": 45.53}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.39, ""MONTH"": 0.0, ""8DAYS"": -9999.0}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.62, ""YEAR"": 0.57}, ""SeaWiFS"": {""YEAR"": 0.42}}, ""BATH"": {""S2004"": -507.0, ""ETOPO1"": -761.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.53, ""YEAR"": 33.54}}}",,8/15/2012 7:43:41
792,792_431,34.061956000000002,-119.466047000000003,Dsp,Delphinus,common dolphins,180437,25,,11/16/2005 7:35:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_431"", ""obsDate"": ""2005-11-16"", ""longitude"": -119.466, ""latitude"": 34.062, ""SST"": {""PF51"": {""YEAR"": 15.525, ""MONTH"": 16.275, ""8DAYS"": 16.275}, ""OISST"": {""DAY"": 16.8, ""8DAYS"": 16.88, ""MONTH"": 16.7, ""YEAR"": 15.95}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 17.05, ""YEAR"": 16.33}, ""HYCOM"": {""MONTH"": 17.18, ""YEAR"": 16.51}}, ""SSH"": {""AVISO"": {""8DAYS"": 51.17}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.9, ""MONTH"": 1.2, ""8DAYS"": 1.79}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 1.03, ""MONTH"": 3.05, ""YEAR"": 3.47}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 1.45, ""MONTH"": 1.38, ""YEAR"": 2.2}}, ""BATH"": {""S2004"": -109.0, ""ETOPO1"": -92.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}], ""WDPA"": [{""DESIG_ENG"": ""National Marine Sanctuary"", ""GOV_TYPE"": ""Collaborative governance"", ""ISO3"": ""USA"", ""NAME"": ""Channel Islands"", ""NO_TAKE"": ""Part"", ""STATUS"": ""Designated"", ""STATUS_YR"": 1980, ""WDPAID"": 555586740}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.56, ""YEAR"": 33.55}}}",,8/15/2012 7:43:41
792,792_212,33.535789999999999,-117.868922999999995,Gg,Grampus griseus,Risso's Dolphin,180457,4,,1/10/2005 14:20:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_212"", ""obsDate"": ""2005-01-10"", ""longitude"": -117.869, ""latitude"": 33.536, ""SST"": {""PF51"": {""YEAR"": 18.075, ""MONTH"": 15.3, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 15.08, ""8DAYS"": 15.1, ""MONTH"": 15.26, ""YEAR"": 17.32}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 15.31, ""MONTH"": 15.68, ""YEAR"": 17.9}, ""HYCOM"": {""MONTH"": 15.73, ""YEAR"": 17.07}}, ""SSH"": {""AVISO"": {""8DAYS"": -9999.0}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": -9999.0, ""MONTH"": -9999.0, ""8DAYS"": -9999.0}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 2.17, ""MONTH"": 3.31, ""YEAR"": 4.3}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""S2004"": -204.0, ""ETOPO1"": -441.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.4, ""YEAR"": 33.59}}}",,8/15/2012 7:43:41
792,792_696,33.426032999999997,-117.842688999999993,Er,Eschrichtius robustus,Gray Whale,180521,2,,1/18/2007 7:23:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_696"", ""obsDate"": ""2007-01-18"", ""longitude"": -117.843, ""latitude"": 33.426, ""SST"": {""PF51"": {""YEAR"": 15.825, ""MONTH"": 14.925, ""8DAYS"": 14.775}, ""OISST"": {""DAY"": 14.21, ""8DAYS"": 14.34, ""MONTH"": 14.82, ""YEAR"": 17.46}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 15.74, ""MONTH"": 15.26, ""YEAR"": 18.94}, ""HYCOM"": {""MONTH"": 15.18, ""YEAR"": 17.07}}, ""SSH"": {""AVISO"": {""8DAYS"": -9999.0}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.12, ""MONTH"": 2.59, ""8DAYS"": 1.18}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 2.56, ""MONTH"": 6.06, ""YEAR"": 1.81}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 2.46, ""MONTH"": 1.7, ""YEAR"": 1.09}}, ""BATH"": {""S2004"": -604.0, ""ETOPO1"": -653.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.56, ""YEAR"": 33.64}}}",,8/15/2012 7:43:41
792,792_420,33.756456000000000,-118.775082999999995,Dsp,Delphinus,common dolphins,180437,75,,11/11/2005 7:35:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_420"", ""obsDate"": ""2005-11-11"", ""longitude"": -118.775, ""latitude"": 33.756, ""SST"": {""PF51"": {""YEAR"": 16.575, ""MONTH"": 17.175, ""8DAYS"": 17.25}, ""OISST"": {""DAY"": 16.87, ""8DAYS"": 17.08, ""MONTH"": 16.9, ""YEAR"": 16.66}, ""MODIS"": {""DAY"": 17.64, ""8DAYS"": 17.46, ""MONTH"": 18.01, ""YEAR"": 17.64}, ""HYCOM"": {""MONTH"": 17.4, ""YEAR"": 17.35}}, ""SSH"": {""AVISO"": {""8DAYS"": 51.64}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.53, ""MONTH"": 0.63, ""8DAYS"": 0.4}, ""MODIS"": {""DAY"": 0.99, ""8DAYS"": 1.17, ""MONTH"": 0.88, ""YEAR"": 1.64}, ""SeaWiFS"": {""DAY"": 0.7, ""8DAYS"": 0.7, ""MONTH"": 0.84, ""YEAR"": 1.85}}, ""BATH"": {""S2004"": -783.0, ""ETOPO1"": -916.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.58, ""YEAR"": 33.54}}}",,8/15/2012 7:43:41
792,792_680,32.790412000000003,-117.311262999999997,Er,Eschrichtius robustus,Gray Whale,180521,1,,1/12/2007 16:25:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_680"", ""obsDate"": ""2007-01-12"", ""longitude"": -117.311, ""latitude"": 32.79, ""SST"": {""PF51"": {""YEAR"": 15.525, ""MONTH"": 14.775, ""8DAYS"": 14.55}, ""OISST"": {""DAY"": 14.33, ""8DAYS"": 14.37, ""MONTH"": 14.56, ""YEAR"": 17.36}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 15.75, ""YEAR"": 19.2}, ""HYCOM"": {""MONTH"": 14.95, ""YEAR"": 16.81}}, ""SSH"": {""AVISO"": {""8DAYS"": 56.89}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.76, ""MONTH"": -9999.0, ""8DAYS"": -9999.0}, ""MODIS"": {""DAY"": 1.53, ""8DAYS"": 1.39, ""MONTH"": 1.41, ""YEAR"": 1.92}, ""SeaWiFS"": {""DAY"": 0.8, ""8DAYS"": 0.8, ""MONTH"": 0.8, ""YEAR"": 0.82}}, ""BATH"": {""S2004"": -62.0, ""ETOPO1"": -62.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.64, ""YEAR"": 33.65}}}",,8/15/2012 7:43:41
792,792_678,32.927619000000000,-119.677830000000000,Dsp,Delphinus,common dolphins,180437,260,,11/5/2006 15:36:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_678"", ""obsDate"": ""2006-11-05"", ""longitude"": -119.678, ""latitude"": 32.928, ""SST"": {""PF51"": {""YEAR"": 15.6, ""MONTH"": 17.025, ""8DAYS"": 17.175}, ""OISST"": {""DAY"": 18.43, ""8DAYS"": 17.71, ""MONTH"": 16.73, ""YEAR"": 15.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 16.72, ""YEAR"": 15.94}, ""HYCOM"": {""MONTH"": 17.27, ""YEAR"": 16.51}}, ""SSH"": {""AVISO"": {""8DAYS"": 59.76}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.05, ""MONTH"": 0.51, ""8DAYS"": 0.39}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.25, ""MONTH"": 0.52, ""YEAR"": 1.07}, ""SeaWiFS"": {""DAY"": 0.21, ""8DAYS"": 0.21, ""MONTH"": 0.51, ""YEAR"": 1.06}}, ""BATH"": {""S2004"": -1219.0, ""ETOPO1"": -1469.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.46, ""YEAR"": 33.51}}}",,8/15/2012 7:43:41
792,792_683,32.754657999999999,-117.763255000000001,UnLgCet,Cetacea,cetaceans,180403,1,,1/13/2007 8:51:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_683"", ""obsDate"": ""2007-01-13"", ""longitude"": -117.763, ""latitude"": 32.755, ""SST"": {""PF51"": {""YEAR"": 16.35, ""MONTH"": 14.625, ""8DAYS"": 14.175}, ""OISST"": {""DAY"": 14.76, ""8DAYS"": 15.06, ""MONTH"": 15.12, ""YEAR"": 17.49}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 16.18, ""MONTH"": 15.94, ""YEAR"": 18.82}, ""HYCOM"": {""MONTH"": 15.49, ""YEAR"": 17.82}}, ""SSH"": {""AVISO"": {""8DAYS"": 56.95}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.53, ""MONTH"": 1.1, ""8DAYS"": 0.98}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 4.07, ""MONTH"": 1.48, ""YEAR"": 0.57}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 1.14, ""MONTH"": 1.15, ""YEAR"": 0.56}}, ""BATH"": {""S2004"": -315.0, ""ETOPO1"": -319.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.56, ""YEAR"": 33.58}}}",,8/15/2012 7:43:41
792,792_201,31.249497999999999,-120.768767999999994,Dsp,Delphinus,common dolphins,180437,10,,1/6/2005 7:31:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_201"", ""obsDate"": ""2005-01-06"", ""longitude"": -120.769, ""latitude"": 31.249, ""SST"": {""PF51"": {""YEAR"": 16.95, ""MONTH"": 15.675, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 14.96, ""8DAYS"": 14.94, ""MONTH"": 15.12, ""YEAR"": 16.54}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 16.11, ""YEAR"": 17.01}, ""HYCOM"": {""MONTH"": 15.73, ""YEAR"": 17.26}}, ""SSH"": {""AVISO"": {""8DAYS"": 59.92}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.16, ""MONTH"": 0.14, ""8DAYS"": 0.1}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.23, ""MONTH"": 0.18, ""YEAR"": 0.2}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.16, ""YEAR"": 0.21}}, ""BATH"": {""S2004"": -3898.0, ""ETOPO1"": -3950.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.12, ""YEAR"": 33.3}}}",,8/15/2012 7:43:41
